pmid,pmcid,doi,has_full_text,graph_status,title
11250747,PMC13901,,True,done,"BRCA1 and BRCA2 protein expressions in an ovotestis of a 46, XX true hermaphrodite"
11967146,PMC107028,10.1186/1471-2474-3-11,True,done,The impact of incident vertebral and non-vertebral fractures on health related quality of life in postmenopausal women
21184054,,,False,done,Markers of bone turnover for the prediction of fracture risk and monitoring of osteoporosis treatment: a need for international reference standards.
22281125,PMC3293090,10.1186/1746-6148-8-10,True,done,"Relationship of orthopedic examination, goniometric measurements, and radiographic signs of degenerative joint disease in cats"
25917326,PMC4895402,10.1111/jvim.12600,True,done,Changes in Systolic Blood Pressure over Time in Healthy Cats and Cats with Chronic Kidney Disease
26101626,PMC4473162,10.1017/jns.2014.42,True,done,How often do primary care veterinarians record the overweight status of dogs?*
26909809,PMC4765852,10.1371/journal.pone.0150040,True,done,Behavioural Signs of Pain in Cats: An Expert Consensus
26948860,PMC4864943,10.1111/jvim.13917,True,done,Risk Factors for Development of Chronic Kidney Disease in Cats
27527534,PMC5032880,10.1111/jvim.14561,True,done,Evaluation of Weight Loss Over Time in Cats with Chronic Kidney Disease
27876455,PMC5120387,10.3402/pba.v6.33276,True,done,Multiple morbidities in companion dogs: a novel model for investigating age-related disease
27906477,PMC5259628,10.1111/jvim.14625,True,done,Blood Pressure Measurements in 780 Apparently Healthy Cats
28049469,PMC5209808,10.1186/s12917-016-0931-1,True,done,"DISCONTOOLS: a database to identify research gaps on vaccines, pharmaceuticals and diagnostics for the control of infectious diseases of animals"
30456571,PMC6332293,10.1007/s00198-018-4732-1,True,done,Risk of subsequent fracture after prior fracture among older women
30819222,PMC6393999,10.1186/s13018-019-1100-6,True,done,Reference markers of bone turnover for prediction of fracture: a meta-analysis
32494402,PMC7252805,10.19102/icrm.2019.100106,True,done,The Rogue P-wave: Atrial Dissociation Following Bicaval Heart Transplantation
32640581,PMC7557453,10.3390/vetsci7030085,True,done,Prevalence of Disease and Age-Related Behavioural Changes in Cats: Past and Present
33417294,PMC8006603,10.1002/ehf2.13102,True,done,Heart rate kinetics during standard cardiopulmonary exercise testing in heart transplant recipients: a longitudinal study
34247254,PMC8325652,10.1007/s00404-021-06123-6,True,done,Osteoporotic fractures and subsequent fractures: imminent fracture risk from an analysis of German real-world claims data
34578241,PMC8465108,10.3390/pathogens10091209,True,done,Bartonella Infections in Cats and Cat Fleas in Lithuania
35279177,PMC8917756,10.1186/s13018-022-03038-z,True,done,"Risk factors of vertebral re-fracture after PVP or PKP for osteoporotic vertebral compression fractures, especially in Eastern Asia: a systematic review and meta-analysis"
35445099,PMC9014291,10.3389/fvets.2022.859041,True,done,Aging in Cats: Owner Observations and Clinical Finding in 206 Mature Cats at Enrolment to the Cat Prospective Aging and Welfare Study
35750934,PMC9395308,10.1007/s00223-022-00996-8,True,done,Bone Turnover Marker Profiling and Fracture Risk in Older Women: Fracture Risk from Age 75 to 90
36147775,PMC9485036,10.1016/j.ajoc.2022.101702,True,done,Cat scratch disease: What to do with the cat?
36389125,PMC9646299,10.1155/2022/4149468,True,done,Correlation of Psoas Muscle Index with Fragility Vertebral Fracture: A Retrospective Cross-Sectional Study of Middle-Aged and Elderly Women
36404305,PMC9677643,10.1186/s12905-022-02034-z,True,done,Risk factors of primary and recurrent fractures in postmenopausal osteoporotic Chinese patients: A retrospective analysis study
36600799,PMC9799209,10.1093/ehjcr/ytac473,True,done,Double heart after heart transplantation
39092468,PMC11294729,10.1111/srt.13828,True,done,Understanding the causes of skincare product pilling
39097669,PMC11297947,10.1038/s41598-024-68835-4,True,done,Incidence and risk factors of adjacent vertebral fracture after percutaneous vertebroplasty or kyphoplasty in postmenopausal women: a retrospective study
39513358,PMC11634494,10.1002/jcsm.13631,True,done,Prediction of Fragility Fractures and Mortality in a Cohort of Geriatric Patients
40177521,PMC11961946,10.3389/fmolb.2025.1558052,True,done,Osteoporotic vertebral fractures and subsequent fractures: risk factors from a retrospective observational study of patients with osteoporosis
40324207,PMC12188750,10.1093/jbmr/zjaf061,True,done,Increased risk of vertebral fractures and reduced risk of femur fractures in patients with chronic hypoparathyroidism: a nationwide cohort study in Sweden
